title,description,price,category,image_url,colors,sizes,rating,is_new,is_on_sale,discount_percent,stock
"Bermudas Casual","Tela ligera, perfectas para el verano.",449,hombre,"https://via.placeholder.com/500x600/92400E/FFFFFF?text=Bermudas+Caqui","[{""name"": ""Caqui"", ""hex"": ""#92400E""}, {""name"": ""Azul Marino"", ""hex"": ""#1E40AF""}]","[""S"", ""M"", ""L"", ""XL""]",4.3,false,true,15,95
"Camisa Cuadros","Franela suave, estilo leñador moderno.",649,hombre,"https://via.placeholder.com/500x600/EF4444/FFFFFF?text=Camisa+Cuadros","[{""name"": ""Rojo/Negro"", ""hex"": ""#EF4444""}, {""name"": ""Azul/Blanco"", ""hex"": ""#3B82F6""}]","[""S"", ""M"", ""L"", ""XL""]",4.5,false,false,0,75
"Playera Manga Larga","Algodón orgánico, corte regular.",549,hombre,"https://via.placeholder.com/500x600/FFFFFF/000000?text=Manga+Larga","[{""name"": ""Blanco"", ""hex"": ""#FFFFFF""}, {""name"": ""Gris"", ""hex"": ""#6B7280""}]","[""S"", ""M"", ""L"", ""XL""]",4.4,false,false,0,110
"Pantalón Jogger","Cómodo y moderno, perfecto para relajarse.",599,hombre,"https://via.placeholder.com/500x600/6B7280/FFFFFF?text=Jogger+Gris","[{""name"": ""Gris"", ""hex"": ""#6B7280""}, {""name"": ""Negro"", ""hex"": ""#111111""}]","[""S"", ""M"", ""L"", ""XL""]",4.6,false,true,20,65
"Chaleco Acolchado","Ligero y cálido, ideal para entretiempo.",799,hombre,"https://via.placeholder.com/500x600/111111/FFFFFF?text=Chaleco+Negro","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Azul Marino"", ""hex"": ""#1E40AF""}]","[""S"", ""M"", ""L"", ""XL""]",4.5,false,false,0,50
"Playera Deportiva","Tela que absorbe la humedad, perfecta para ejercicio.",399,hombre,"https://via.placeholder.com/500x600/111111/FFFFFF?text=Deportiva+Negra","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Azul"", ""hex"": ""#3B82F6""}]","[""S"", ""M"", ""L"", ""XL""]",4.7,false,false,0,130
"Jeans Recto","Corte clásico, mezclilla de calidad premium.",849,hombre,"https://via.placeholder.com/500x600/3B82F6/FFFFFF?text=Jeans+Recto","[{""name"": ""Azul Clásico"", ""hex"": ""#3B82F6""}, {""name"": ""Negro"", ""hex"": ""#111111""}]","[""28"", ""30"", ""32"", ""34"", ""36""]",4.6,false,false,0,70
"Hoodie Básico","Capucha ajustable, bolsillo canguro frontal.",649,hombre,"https://via.placeholder.com/500x600/6B7280/FFFFFF?text=Hoodie+Gris","[{""name"": ""Gris"", ""hex"": ""#6B7280""}, {""name"": ""Negro"", ""hex"": ""#111111""}]","[""S"", ""M"", ""L"", ""XL"", ""XXL""]",4.5,false,true,10,85
"Vestido Midi Elegante","Diseño sofisticado, perfecto para ocasiones especiales.",1199,mujer,"https://via.placeholder.com/500x600/111111/FFFFFF?text=Vestido+Negro","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Azul Marino"", ""hex"": ""#1E40AF""}]","[""XS"", ""S"", ""M"", ""L"", ""XL""]",4.8,false,false,0,30
"Blusa Satinada Rosa","Tela sedosa, corte favorecedor para el día a día.",599,mujer,"https://via.placeholder.com/500x600/F472B6/FFFFFF?text=Blusa+Rosa","[{""name"": ""Rosa"", ""hex"": ""#F472B6""}, {""name"": ""Blanco"", ""hex"": ""#FFFFFF""}]","[""XS"", ""S"", ""M"", ""L""]",4.5,false,true,25,80
"Jeans Mom Fit","Corte vintage relajado, cintura alta muy favorecedor.",999,mujer,"https://via.placeholder.com/500x600/3B82F6/FFFFFF?text=Jeans+Mom","[{""name"": ""Azul Claro"", ""hex"": ""#3B82F6""}, {""name"": ""Azul Oscuro"", ""hex"": ""#1E3A8A""}]","[""24"", ""26"", ""28"", ""30"", ""32""]",4.7,false,false,0,65
"Cardigan Oversized","Tejido suave, perfecto para capas en cualquier época.",899,mujer,"https://via.placeholder.com/500x600/D6D3D1/000000?text=Cardigan+Beige","[{""name"": ""Beige"", ""hex"": ""#D6D3D1""}, {""name"": ""Gris"", ""hex"": ""#6B7280""}]","[""XS"", ""S"", ""M"", ""L""]",4.6,false,false,0,90
"Falda Plisada Midi","Diseño atemporal, fácil de combinar para cualquier look.",699,mujer,"https://via.placeholder.com/500x600/111111/FFFFFF?text=Falda+Negra","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Camel"", ""hex"": ""#92400E""}]","[""XS"", ""S"", ""M"", ""L""]",4.4,false,true,30,55
"Top Crop Básico","Algodón suave, corte moderno y versátil.",349,mujer,"https://via.placeholder.com/500x600/FFFFFF/000000?text=Top+Blanco","[{""name"": ""Blanco"", ""hex"": ""#FFFFFF""}, {""name"": ""Negro"", ""hex"": ""#111111""}]","[""XS"", ""S"", ""M"", ""L""]",4.3,false,false,0,120
"Vestido Floral","Estampado romántico, perfecto para primavera.",799,mujer,"https://via.placeholder.com/500x600/F472B6/FFFFFF?text=Vestido+Floral","[{""name"": ""Rosa/Verde"", ""hex"": ""#F472B6""}, {""name"": ""Azul/Blanco"", ""hex"": ""#3B82F6""}]","[""XS"", ""S"", ""M"", ""L"", ""XL""]",4.6,false,true,20,45
"Pantalón Palazzo","Corte amplio y cómodo, muy elegante.",749,mujer,"https://via.placeholder.com/500x600/111111/FFFFFF?text=Palazzo+Negro","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Azul Marino"", ""hex"": ""#1E40AF""}]","[""XS"", ""S"", ""M"", ""L""]",4.5,false,false,0,70
"Blazer Estructurado","Corte moderno, perfecto para la oficina.",1299,mujer,"https://via.placeholder.com/500x600/111111/FFFFFF?text=Blazer+Negro","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Gris"", ""hex"": ""#6B7280""}]","[""XS"", ""S"", ""M"", ""L"", ""XL""]",4.7,false,false,0,40
"Playera Básica","Algodón orgánico, corte femenino favorecedor.",299,mujer,"https://via.placeholder.com/500x600/FFFFFF/000000?text=Playera+Basica","[{""name"": ""Blanco"", ""hex"": ""#FFFFFF""}, {""name"": ""Rosa"", ""hex"": ""#F472B6""}]","[""XS"", ""S"", ""M"", ""L"", ""XL""]",4.4,false,false,0,150
"Jeans Skinny","Mezclilla elástica, ajuste perfecto.",849,mujer,"https://via.placeholder.com/500x600/1E3A8A/FFFFFF?text=Jeans+Skinny","[{""name"": ""Azul Oscuro"", ""hex"": ""#1E3A8A""}, {""name"": ""Negro"", ""hex"": ""#111111""}]","[""24"", ""26"", ""28"", ""30"", ""32""]",4.6,false,true,15,85
"Suéter Cuello Alto","Lana merino, elegante y cálido.",999,mujer,"https://via.placeholder.com/500x600/FEF7CD/000000?text=Sueter+Crema","[{""name"": ""Crema"", ""hex"": ""#FEF7CD""}, {""name"": ""Gris"", ""hex"": ""#6B7280""}]","[""XS"", ""S"", ""M"", ""L""]",4.8,false,false,0,60
"Shorts Denim","Mezclilla suave, perfectos para el verano.",449,mujer,"https://via.placeholder.com/500x600/3B82F6/FFFFFF?text=Shorts+Denim","[{""name"": ""Azul Claro"", ""hex"": ""#3B82F6""}, {""name"": ""Blanco"", ""hex"": ""#FFFFFF""}]","[""XS"", ""S"", ""M"", ""L""]",4.3,false,true,25,95
"Camisa Oversize","Corte relajado, perfecta para looks casuales.",649,mujer,"https://via.placeholder.com/500x600/FFFFFF/000000?text=Camisa+Oversize","[{""name"": ""Blanco"", ""hex"": ""#FFFFFF""}, {""name"": ""Azul Claro"", ""hex"": ""#DBEAFE""}]","[""XS"", ""S"", ""M"", ""L""]",4.5,false,false,0,75
"Vestido Wrap","Diseño envolvente muy favorecedor.",899,mujer,"https://via.placeholder.com/500x600/10B981/FFFFFF?text=Vestido+Verde","[{""name"": ""Verde"", ""hex"": ""#10B981""}, {""name"": ""Azul"", ""hex"": ""#3B82F6""}]","[""XS"", ""S"", ""M"", ""L"", ""XL""]",4.7,false,false,0,50
"Leggings Deportivos","Tela que absorbe humedad, perfectos para yoga.",399,mujer,"https://via.placeholder.com/500x600/111111/FFFFFF?text=Leggings+Negro","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Gris"", ""hex"": ""#6B7280""}]","[""XS"", ""S"", ""M"", ""L"", ""XL""]",4.6,false,false,0,110
"Falda Lápiz","Corte ajustado, muy elegante para la oficina.",599,mujer,"https://via.placeholder.com/500x600/111111/FFFFFF?text=Falda+Lapiz","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Gris"", ""hex"": ""#6B7280""}]","[""XS"", ""S"", ""M"", ""L""]",4.4,false,true,20,65
"Chaqueta Bomber","Estilo urbano moderno, muy versátil.",799,mujer,"https://via.placeholder.com/500x600/111111/FFFFFF?text=Bomber+Negro","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Verde"", ""hex"": ""#10B981""}]","[""XS"", ""S"", ""M"", ""L""]",4.5,false,false,0,55
"Top Tirantes","Básico esencial, perfecto para capas.",249,mujer,"https://via.placeholder.com/500x600/FFFFFF/000000?text=Top+Tirantes","[{""name"": ""Blanco"", ""hex"": ""#FFFFFF""}, {""name"": ""Negro"", ""hex"": ""#111111""}]","[""XS"", ""S"", ""M"", ""L"", ""XL""]",4.2,false,false,0,140
"Pantalón Recto","Corte clásico, muy elegante.",749,mujer,"https://via.placeholder.com/500x600/111111/FFFFFF?text=Pantalon+Negro","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Beige"", ""hex"": ""#D6D3D1""}]","[""XS"", ""S"", ""M"", ""L""]",4.6,false,true,10,70
"Playera Dinosaurios","Algodón orgánico, estampado divertido y colorido.",249,ninos,"https://via.placeholder.com/500x600/10B981/FFFFFF?text=Dinosaurios","[{""name"": ""Verde"", ""hex"": ""#10B981""}, {""name"": ""Azul"", ""hex"": ""#3B82F6""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.9,false,false,0,150
"Shorts Deportivos","Tela ligera y transpirable, perfectos para jugar.",299,ninos,"https://via.placeholder.com/500x600/3B82F6/FFFFFF?text=Shorts+Azul","[{""name"": ""Azul"", ""hex"": ""#3B82F6""}, {""name"": ""Rojo"", ""hex"": ""#EF4444""}]","[""2"", ""4"", ""6"", ""8"", ""10"", ""12""]",4.7,false,true,20,120
"Sudadera Con Capucha Niño","Felpa suave, diseño moderno y cómodo para niños.",449,ninos,"https://via.placeholder.com/500x600/6B7280/FFFFFF?text=Sudadera+Gris","[{""name"": ""Gris"", ""hex"": ""#6B7280""}, {""name"": ""Azul Marino"", ""hex"": ""#1E40AF""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.8,false,false,0,100
"Jeans Cómodos","Mezclilla suave, cintura elástica para mayor comodidad.",499,ninos,"https://via.placeholder.com/500x600/3B82F6/FFFFFF?text=Jeans+Azul","[{""name"": ""Azul Claro"", ""hex"": ""#3B82F6""}, {""name"": ""Azul Oscuro"", ""hex"": ""#1E3A8A""}]","[""2"", ""4"", ""6"", ""8"", ""10"", ""12""]",4.6,false,false,0,85
"Polo Rayas","Diseño clásico con rayas, perfecto para cualquier ocasión.",349,ninos,"https://via.placeholder.com/500x600/3B82F6/FFFFFF?text=Polo+Rayas","[{""name"": ""Azul/Blanco"", ""hex"": ""#3B82F6""}, {""name"": ""Rojo/Blanco"", ""hex"": ""#EF4444""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.5,false,true,15,110
"Playera Superhéroes","Estampado de superhéroes, algodón suave.",299,ninos,"https://via.placeholder.com/500x600/3B82F6/FFFFFF?text=Superheroes","[{""name"": ""Azul"", ""hex"": ""#3B82F6""}, {""name"": ""Rojo"", ""hex"": ""#EF4444""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.8,false,false,0,130
"Pantalón Jogger","Cómodo para jugar, cintura elástica.",399,ninos,"https://via.placeholder.com/500x600/6B7280/FFFFFF?text=Jogger+Gris","[{""name"": ""Gris"", ""hex"": ""#6B7280""}, {""name"": ""Azul Marino"", ""hex"": ""#1E40AF""}]","[""2"", ""4"", ""6"", ""8"", ""10"", ""12""]",4.6,false,false,0,95
"Camisa Cuadros","Franela suave, perfecta para looks casuales.",449,ninos,"https://via.placeholder.com/500x600/EF4444/FFFFFF?text=Camisa+Cuadros","[{""name"": ""Rojo/Negro"", ""hex"": ""#EF4444""}, {""name"": ""Azul/Blanco"", ""hex"": ""#3B82F6""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.4,false,true,10,80
"Playera Manga Larga","Algodón orgánico, perfecta para clima fresco.",349,ninos,"https://via.placeholder.com/500x600/FFFFFF/000000?text=Manga+Larga","[{""name"": ""Blanco"", ""hex"": ""#FFFFFF""}, {""name"": ""Gris"", ""hex"": ""#6B7280""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.5,false,false,0,115
"Bermudas Cargo","Múltiples bolsillos, perfectas para aventuras.",399,ninos,"https://via.placeholder.com/500x600/92400E/FFFFFF?text=Bermudas+Cargo","[{""name"": ""Caqui"", ""hex"": ""#92400E""}, {""name"": ""Verde"", ""hex"": ""#10B981""}]","[""2"", ""4"", ""6"", ""8"", ""10"", ""12""]",4.3,false,true,15,90
"Suéter Básico","Lana suave, perfecto para el frío.",549,ninos,"https://via.placeholder.com/500x600/1E40AF/FFFFFF?text=Sueter+Azul","[{""name"": ""Azul Marino"", ""hex"": ""#1E40AF""}, {""name"": ""Gris"", ""hex"": ""#6B7280""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.6,false,false,0,70
"Playera Deportiva","Tela que absorbe humedad, perfecta para deportes.",299,ninos,"https://via.placeholder.com/500x600/3B82F6/FFFFFF?text=Deportiva+Azul","[{""name"": ""Azul"", ""hex"": ""#3B82F6""}, {""name"": ""Verde"", ""hex"": ""#10B981""}]","[""2"", ""4"", ""6"", ""8"", ""10"", ""12""]",4.7,false,false,0,125
"Pantalón Formal","Tela resistente, perfecto para ocasiones especiales.",599,ninos,"https://via.placeholder.com/500x600/1E40AF/FFFFFF?text=Formal+Azul","[{""name"": ""Azul Marino"", ""hex"": ""#1E40AF""}, {""name"": ""Negro"", ""hex"": ""#111111""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.4,false,false,0,60
"Chaleco Acolchado","Ligero y cálido, perfecto para entretiempo.",649,ninos,"https://via.placeholder.com/500x600/3B82F6/FFFFFF?text=Chaleco+Azul","[{""name"": ""Azul"", ""hex"": ""#3B82F6""}, {""name"": ""Rojo"", ""hex"": ""#EF4444""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.5,false,true,20,55
"Playera Básica","Algodón suave, esencial en el guardarropa.",249,ninos,"https://via.placeholder.com/500x600/FFFFFF/000000?text=Basica+Blanca","[{""name"": ""Blanco"", ""hex"": ""#FFFFFF""}, {""name"": ""Gris"", ""hex"": ""#6B7280""}]","[""2"", ""4"", ""6"", ""8"", ""10"", ""12""]",4.4,false,false,0,140
"Shorts Básicos","Algodón cómodo, perfectos para el verano.",249,ninos,"https://via.placeholder.com/500x600/3B82F6/FFFFFF?text=Shorts+Basicos","[{""name"": ""Azul"", ""hex"": ""#3B82F6""}, {""name"": ""Gris"", ""hex"": ""#6B7280""}]","[""2"", ""4"", ""6"", ""8"", ""10"", ""12""]",4.3,false,false,0,120
"Pijama Conjunto","Algodón suave, perfecto para dormir cómodo.",449,ninos,"https://via.placeholder.com/500x600/3B82F6/FFFFFF?text=Pijama+Azul","[{""name"": ""Azul"", ""hex"": ""#3B82F6""}, {""name"": ""Verde"", ""hex"": ""#10B981""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.6,false,false,0,85
"Playera Estampada","Diseños divertidos que les encantan.",299,ninos,"https://via.placeholder.com/500x600/3B82F6/FFFFFF?text=Estampada","[{""name"": ""Multicolor"", ""hex"": ""#3B82F6""}, {""name"": ""Blanco"", ""hex"": ""#FFFFFF""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.5,false,true,10,105
"Pantalón Deportivo","Tela elástica, perfecto para actividades físicas.",399,ninos,"https://via.placeholder.com/500x600/111111/FFFFFF?text=Deportivo+Negro","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Azul Marino"", ""hex"": ""#1E40AF""}]","[""2"", ""4"", ""6"", ""8"", ""10"", ""12""]",4.6,false,false,0,90
"Hoodie Básico","Capucha ajustable, muy cómodo y cálido.",549,ninos,"https://via.placeholder.com/500x600/6B7280/FFFFFF?text=Hoodie+Gris","[{""name"": ""Gris"", ""hex"": ""#6B7280""}, {""name"": ""Azul"", ""hex"": ""#3B82F6""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.7,false,false,0,75
"Vestido Princesa Rosa","Diseño encantador con tul y brillos, ideal para fiestas.",599,ninas,"https://via.placeholder.com/500x600/F472B6/FFFFFF?text=Princesa+Rosa","[{""name"": ""Rosa"", ""hex"": ""#F472B6""}, {""name"": ""Lila"", ""hex"": ""#A855F7""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.9,false,false,0,70
"Leggings Unicornio","Estampado mágico, tela elástica y muy suave.",299,ninas,"https://via.placeholder.com/500x600/F472B6/FFFFFF?text=Unicornio","[{""name"": ""Rosa/Morado"", ""hex"": ""#F472B6""}, {""name"": ""Azul/Blanco"", ""hex"": ""#60A5FA""}]","[""2"", ""4"", ""6"", ""8"", ""10"", ""12""]",4.8,false,true,25,95
"Blusa Flores","Estampado floral delicado, manga corta y cuello redondo.",349,ninas,"https://via.placeholder.com/500x600/F472B6/FFFFFF?text=Blusa+Flores","[{""name"": ""Rosa"", ""hex"": ""#F472B6""}, {""name"": ""Amarillo"", ""hex"": ""#FDE047""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.7,false,false,0,130
"Falda Tul","Falda de tul con brillos, perfecta para ocasiones especiales.",449,ninas,"https://via.placeholder.com/500x600/F472B6/FFFFFF?text=Falda+Tul","[{""name"": ""Rosa"", ""hex"": ""#F472B6""}, {""name"": ""Dorado"", ""hex"": ""#F59E0B""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.6,false,false,0,60
"Cardigan Suave Niña","Tejido suave y cálido, perfecto para completar cualquier look.",399,ninas,"https://via.placeholder.com/500x600/FEF7CD/000000?text=Cardigan+Crema","[{""name"": ""Crema"", ""hex"": ""#FEF7CD""}, {""name"": ""Rosa Claro"", ""hex"": ""#FECACA""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.5,false,true,20,80
"Vestido Casual","Algodón suave, perfecto para el día a día.",449,ninas,"https://via.placeholder.com/500x600/3B82F6/FFFFFF?text=Vestido+Azul","[{""name"": ""Azul"", ""hex"": ""#3B82F6""}, {""name"": ""Rosa"", ""hex"": ""#F472B6""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.6,false,false,0,85
"Playera Mariposas","Estampado de mariposas, muy dulce.",299,ninas,"https://via.placeholder.com/500x600/F472B6/FFFFFF?text=Mariposas","[{""name"": ""Rosa"", ""hex"": ""#F472B6""}, {""name"": ""Lila"", ""hex"": ""#A855F7""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.7,false,false,0,110
"Shorts Denim","Mezclilla suave con detalles bordados.",399,ninas,"https://via.placeholder.com/500x600/3B82F6/FFFFFF?text=Shorts+Denim","[{""name"": ""Azul Claro"", ""hex"": ""#3B82F6""}, {""name"": ""Blanco"", ""hex"": ""#FFFFFF""}]","[""2"", ""4"", ""6"", ""8"", ""10"", ""12""]",4.4,false,true,15,90
"Suéter Corazones","Diseño tierno con corazones bordados.",549,ninas,"https://via.placeholder.com/500x600/F472B6/FFFFFF?text=Corazones","[{""name"": ""Rosa"", ""hex"": ""#F472B6""}, {""name"": ""Blanco"", ""hex"": ""#FFFFFF""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.8,false,false,0,65
"Leggings Básicos","Algodón elástico, muy cómodos.",249,ninas,"https://via.placeholder.com/500x600/111111/FFFFFF?text=Leggings+Negro","[{""name"": ""Negro"", ""hex"": ""#111111""}, {""name"": ""Gris"", ""hex"": ""#6B7280""}]","[""2"", ""4"", ""6"", ""8"", ""10"", ""12""]",4.5,false,false,0,120
"Vestido Rayas","Diseño marinero clásico, muy elegante.",499,ninas,"https://via.placeholder.com/500x600/3B82F6/FFFFFF?text=Vestido+Rayas","[{""name"": ""Azul/Blanco"", ""hex"": ""#3B82F6""}, {""name"": ""Rosa/Blanco"", ""hex"": ""#F472B6""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.6,false,true,10,75
"Blusa Manga Larga","Algodón orgánico, perfecta para clima fresco.",349,ninas,"https://via.placeholder.com/500x600/FFFFFF/000000?text=Manga+Larga","[{""name"": ""Blanco"", ""hex"": ""#FFFFFF""}, {""name"": ""Rosa Claro"", ""hex"": ""#FECACA""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.4,false,false,0,100
"Falda Plisada","Diseño clásico, perfecta para la escuela.",399,ninas,"https://via.placeholder.com/500x600/1E40AF/FFFFFF?text=Falda+Azul","[{""name"": ""Azul Marino"", ""hex"": ""#1E40AF""}, {""name"": ""Gris"", ""hex"": ""#6B7280""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.3,false,false,0,85
"Playera Gatos","Estampado de gatitos, muy tierna.",299,ninas,"https://via.placeholder.com/500x600/F472B6/FFFFFF?text=Gatitos","[{""name"": ""Rosa"", ""hex"": ""#F472B6""}, {""name"": ""Blanco"", ""hex"": ""#FFFFFF""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.8,false,false,0,115
"Vestido Fiesta","Diseño elegante con lentejuelas, perfecto para fiestas.",699,ninas,"https://via.placeholder.com/500x600/F59E0B/FFFFFF?text=Vestido+Dorado","[{""name"": ""Dorado"", ""hex"": ""#F59E0B""}, {""name"": ""Plata"", ""hex"": ""#6B7280""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.9,false,true,20,45
"Pantalón Deportivo","Tela elástica, perfecto para jugar.",349,ninas,"https://via.placeholder.com/500x600/F472B6/FFFFFF?text=Deportivo+Rosa","[{""name"": ""Rosa"", ""hex"": ""#F472B6""}, {""name"": ""Azul"", ""hex"": ""#3B82F6""}]","[""2"", ""4"", ""6"", ""8"", ""10"", ""12""]",4.5,false,false,0,95
"Chaqueta Denim","Mezclilla suave con detalles bordados.",599,ninas,"https://via.placeholder.com/500x600/3B82F6/FFFFFF?text=Chaqueta+Denim","[{""name"": ""Azul Claro"", ""hex"": ""#3B82F6""}, {""name"": ""Blanco"", ""hex"": ""#FFFFFF""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.6,false,false,0,60
"Top Tirantes","Básico esencial, muy versátil.",249,ninas,"https://via.placeholder.com/500x600/FFFFFF/000000?text=Top+Blanco","[{""name"": ""Blanco"", ""hex"": ""#FFFFFF""}, {""name"": ""Rosa"", ""hex"": ""#F472B6""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.3,false,false,0,130
"Pijama Conjunto","Algodón suave con estampados tiernos.",449,ninas,"https://via.placeholder.com/500x600/F472B6/FFFFFF?text=Pijama+Rosa","[{""name"": ""Rosa"", ""hex"": ""#F472B6""}, {""name"": ""Lila"", ""hex"": ""#A855F7""}]","[""2"", ""4"", ""6"", ""8"", ""10""]",4.7,false,false,0,70
